jet0Pt,jet0Eta,jet0Phi,jet1Pt,jet1Eta,jet1Phi,DiTauPt,DiTauEta,DiTauPhi,SignedDeltaPhi,Weight
173.225,0.331918,2.50948,94.5522,-3.8999,3.01444,273.759,0.122993,-0.692955,-0.504962,10.8342
118.882,2.05715,-2.47006,63.1036,-2.48097,-1.97166,74.7041,1.21415,0.880316,-0.498395,8.87782
376.639,1.90122,-2.59394,66.2031,-2.08691,-1.7536,225.995,0.741079,0.678296,-0.840337,15.3802
107.679,-1.29235,-2.1922,103.457,2.50228,-0.596152,117.977,-0.818144,1.63555,1.59604,9.08076
97.6313,1.62438,-2.65228,87.5372,-2.1877,-2.07339,143.571,-1.02344,0.910308,-0.578888,9.59788
81.7278,0.425633,-1.98483,33.1642,-3.71296,-2.04103,63.244,-2.01784,1.07923,0.0561988,11.2048
80.6107,-3.41835,-0.324263,51.6644,1.86561,-0.618694,109.866,0.892439,2.72671,-0.294431,12.2112
135.511,2.43613,2.67915,39.0797,-0.939852,-2.61049,126.225,-0.360062,-0.227824,-0.993544,8.86583
92.487,-1.784,2.26891,62.1989,2.36108,0.926912,141.385,-1.05366,-1.47608,-1.342,9.65348
90.5359,-1.64876,2.44156,73.4989,1.55476,0.477478,61.3679,-0.447435,-1.91282,-1.96408,9.45939
115.389,-2.2783,-3.02707,63.103,2.34233,2.21193,90.1609,-1.76202,0.0667867,-1.04418,9.62436
68.6764,2.43625,0.0219121,68.2283,-1.557,-1.17776,25.3504,2.15304,-2.8389,1.19968,11.9041
75.1786,-1.58197,-0.0144199,30.9501,2.48106,1.82251,76.2303,1.93718,-2.4314,1.83693,9.52819
149.254,2.48833,2.45786,49.7051,-1.12984,1.74199,142.141,1.69379,-0.870297,0.715868,8.88139
79.2099,1.01972,-2.3916,36.8127,-4.14634,-0.540563,95.5225,0.547779,0.995599,-1.85104,9.61229
70.314,2.2176,1.65798,34.2152,-2.55453,0.382849,80.2429,1.77576,-1.7075,1.27513,9.15165
82.7676,-2.12345,2.8692,78.2664,1.7936,0.171244,31.8317,1.94422,-1.6535,-2.69795,9.14163
150.669,-2.04019,0.0431133,141.021,1.63304,2.53843,61.5023,-1.19385,-1.6217,2.49532,9.52379
72.1772,-3.85017,-1.13213,61.8855,1.6593,-2.94601,59.1918,1.26351,0.964715,-1.81387,10.5526
78.8295,2.2166,-0.420532,52.4513,-1.57682,-2.55977,66.9787,1.90715,1.37732,2.13924,8.78658
61.0984,-2.40393,1.91047,32.7408,3.2181,3.02489,49.444,0.274109,-0.580199,1.11442,15.3098
95.0018,0.39305,2.77046,75.8177,-2.78917,0.859173,63.8533,-0.0151142,-0.982472,1.91129,8.91888
121.902,-1.69744,2.8891,52.0916,1.35073,2.53635,102.371,-0.649222,-0.448538,-0.352753,8.96423
220.734,-1.31242,3.00863,112.068,1.77947,0.937286,102.658,-0.792307,-0.700494,-2.07134,10.864
152.475,-2.30073,1.57055,134.455,2.42931,-1.65449,83.803,-0.771951,2.20056,3.05814,11.0251
290.633,2.12796,-2.18099,48.6968,-1.16347,-0.577331,273.939,0.724999,0.998067,-1.60366,9.60545
64.6301,-2.30144,-1.00366,33.1481,2.57217,0.888317,29.2903,0.932013,2.52869,1.89198,10.0158
174.211,2.44547,0.493029,62.3312,-2.14665,1.50562,119.183,-0.921474,-2.46599,-1.01259,9.08257
98.9406,-2.31792,2.32901,88.2433,2.98497,0.613916,34.6242,-1.21148,-1.68775,-1.71509,14.9609
170.01,1.09503,2.41376,53.3008,-1.99906,-1.60316,107.287,0.535741,-0.365132,-2.26626,9.11422
318.762,0.987374,-0.354771,135.534,-2.73894,2.10688,77.9574,0.751093,3.11568,-2.46166,8.8338
84.4148,1.64967,-2.80986,35.3969,-2.50865,-2.34604,92.0398,-0.0422007,0.378827,-0.463817,9.90209
74.85,3.1936,-1.52278,39.4404,-2.81138,2.6605,36.6263,-1.38304,1.31454,2.09991,14.3471
213.566,-2.82835,0.92303,103.323,1.37832,-2.40503,76.3581,-1.847,-2.49018,2.95513,11.371
241.008,-1.31866,1.36078,67.6066,3.71405,2.20202,176.927,-0.118918,-1.69287,0.841245,9.42984
197.407,1.70728,-2.13606,72.7756,-3.8662,2.30657,232.993,0.803735,0.59825,1.84055,9.9542
66.9338,0.971755,-2.65409,41.7243,-3.59852,-1.98821,43.0875,-1.80161,1.41655,-0.66588,10.465
88.7699,3.73907,-1.84496,88.065,-1.79531,2.52721,104.992,-0.396095,0.53522,1.91102,11.2078
165.633,-0.0978353,-0.230733,51.9694,2.92583,-1.55364,161.636,0.061763,2.59517,-1.32291,10.9043
137.457,-0.0391725,-1.42729,40.8364,3.27493,1.90399,70.6909,0.833868,2.0475,-2.95191,8.50671
95.0383,-3.14376,-2.55029,92.9053,3.35981,1.60704,57.849,-2.05934,0.495379,-2.12585,9.24796
159.126,-1.3298,0.763843,95.4271,2.96909,-3.00401,103.861,1.00544,-1.83973,2.51534,11.0418
149.29,1.63979,1.11279,79.9537,-2.62585,2.54934,94.6546,-1.28068,-1.33675,-1.43655,9.81733
128.931,1.33487,-2.2103,41.76,-1.89798,1.07293,60.438,-0.0555204,0.058144,2.99996,9.19738
167.419,1.85936,0.150102,120.036,-2.23304,-2.07195,153.1,0.00122101,1.65176,2.22205,9.50966
113.488,2.4613,2.36846,40.2443,-0.942159,-2.58928,60.882,1.47533,-0.728277,-1.32544,10.9263
116.269,-1.1513,-2.4608,60.2408,1.92443,2.64447,50.2299,0.852659,0.0563417,-1.17791,15.0445
138.116,-0.356575,-0.973432,97.9718,2.76278,1.15281,100.756,0.661368,3.00911,2.12624,9.60771
140.751,1.57752,-1.3861,59.0268,-2.5194,1.18309,101.714,0.884868,1.81666,-2.56919,12.2364
68.0032,-2.3289,0.222874,39.8878,3.5212,0.147644,36.5749,0.880199,-2.47188,-0.0752299,10.7873
152.706,1.06869,0.118878,76.4184,-1.96952,2.52438,63.2833,0.191834,-2.67516,-2.4055,10.9416
116.95,1.32806,0.50514,75.9193,-2.3781,2.491,129.71,0.847861,-2.05358,-1.98586,8.7964
119.987,-2.20918,2.38435,37.3256,1.50492,0.126535,51.2532,-0.486032,-1.31993,-2.25781,10.7212
102.214,1.20018,-2.74416,36.5355,-2.75861,-0.9269,69.7738,-0.712669,0.531904,-1.81726,10.8119
194.218,1.0703,-2.50601,37.439,-4.09103,-0.539315,220.318,0.15726,1.15151,-1.96669,9.06001
79.2401,-3.24577,-0.609417,71.1115,1.12635,-2.13147,60.9234,-1.35071,1.93574,-1.52205,11.9287
125.569,-2.40929,-0.909843,56.5476,2.05203,-2.52907,67.9633,-1.71886,1.72492,-1.61923,11.4058
241.617,0.0166109,-1.99745,83.1707,-3.0073,2.77571,173.1,-0.929965,0.84708,1.51003,11.7887
101.637,2.66731,0.800437,77.042,-0.396598,-2.51796,84.9287,0.0548137,-2.01113,-2.96478,9.15221
159.169,1.12437,0.899013,63.1241,-2.96584,-1.52949,39.5746,0.112231,-2.98767,2.42851,15.2368
207.048,1.28091,2.44253,46.8706,-2.24563,-1.343,107.226,0.536542,-0.382113,-2.49765,9.0953
