jet0Pt,jet0Eta,jet0Phi,jet1Pt,jet1Eta,jet1Phi,DiTauPt,DiTauEta,DiTauPhi,SignedDeltaPhi,Weight
74.8963,3.02235,1.77353,53.2235,-1.00943,2.02221,65.0763,0.47532,-2.59656,-0.248681,0.0339084
157.579,0.813271,2.44562,51.4905,-2.32867,1.7584,51.1497,-0.382895,-0.770369,0.68722,0.0314058
190.818,-2.2997,-2.5136,93.7425,1.55969,-2.75107,212.441,-1.07046,0.457553,-0.237466,0.0333331
151.025,1.04434,-3.0973,66.6854,-3.40178,-2.56272,106.437,0.0257312,0.212289,-0.534577,0.0310498
90.2248,-3.43811,-0.708446,34.7415,0.374439,1.72088,44.6786,-2.15177,2.94619,2.42932,0.0320242
89.1992,3.88643,-0.462283,64.0674,-1.40983,1.97835,39.7304,-1.41954,2.76157,-2.44063,0.0336315
100.355,-3.12793,-0.297723,46.0084,1.63733,-0.7287,83.7108,0.674974,3.03648,-0.430977,0.0331567
130.975,2.08568,-2.77398,120.842,-2.72662,-1.81053,200.25,0.982103,0.799732,-0.963445,0.0359638
169.369,-0.708809,3.02486,41.0285,3.22873,2.65358,133.356,1.26887,-0.228856,-0.371283,0.0327529
74.7191,0.382127,-0.618114,58.6511,-4.62936,-2.17258,78.095,-1.15711,1.30518,1.55447,0.033681
82.8656,-3.1852,2.86375,70.9764,3.48029,-2.35147,119.452,2.13307,0.252136,1.06796,0.036437
56.3631,-3.03049,-2.87258,44.837,3.17999,2.79738,54.7813,0.433617,0.468623,-0.61323,0.0325767
83.3227,2.01336,0.885502,51.3267,-1.78848,1.01088,107.027,1.45854,-2.2745,-0.125383,0.0279168
160.279,-2.14737,0.404557,57.6606,1.58762,-0.628226,159.482,-0.272287,-2.85738,-1.03278,0.0323542
400.349,1.41618,-1.66265,59.9612,-3.25039,2.99508,272.831,0.810989,1.3169,1.62546,0.0325826
153.561,-2.80921,-2.76077,53.5107,3.29581,-2.86302,139.362,0.211263,-0.0374951,-0.102244,0.036292
179.138,-2.7053,2.16965,75.4226,1.91257,0.250163,103.502,-1.32153,-1.34773,-1.91949,0.0330928
82.7706,1.77715,-1.35367,74.102,-2.71269,0.0897394,73.8969,1.14017,3.11741,-1.44341,0.0329328
87.7718,-3.78537,2.20119,48.9217,0.612198,-0.302564,24.3511,-0.924951,-1.22229,-2.50376,0.0327752
99.5043,2.87094,2.6752,58.7324,-2.85711,1.30247,77.0703,-0.142291,-1.52802,1.37273,0.0340011
211.042,-1.32931,-2.21779,41.7715,1.9351,1.0961,156.709,1.13315,0.904659,-2.96929,0.035899
92.1326,1.96588,-2.85916,70.0748,-4.51472,-1.85424,162.994,-0.801529,0.680748,-1.00493,0.0372446
139.136,3.36915,1.5951,98.2628,-1.93215,-0.867366,53.472,0.0991738,-2.23464,2.46247,0.0344033
180.816,-2.47555,-1.785,61.0379,2.4741,2.18785,69.8469,-1.14218,1.19581,-2.31033,0.0316745
260.699,1.98479,1.00095,52.0146,-2.82308,-0.251891,143.521,0.381308,-2.44455,1.25284,0.0334222
144.072,3.10851,-0.84165,100.832,-2.15088,1.63669,37.2322,1.07564,2.9878,-2.47834,0.0323666
168.772,-2.31614,-2.2266,57.1176,2.96018,-3.09887,109.726,1.02352,0.429703,-0.872275,0.0339955
84.2217,1.75551,1.66584,70.1457,-3.40199,-0.876821,50.7709,-2.44557,-2.13338,2.54266,0.0330488
168.55,2.13238,3.05751,138.117,-1.74194,1.723,175.979,0.392284,-0.665672,1.33451,0.0328585
146.978,1.03724,2.58949,90.9352,-3.72473,0.394033,131.691,-0.736427,-1.10238,2.19546,0.0327306
140.656,-0.88883,-0.162197,80.9407,3.36778,-0.484599,148.786,2.08572,2.92056,-0.322402,0.0337229
72.8733,-2.59259,0.551544,44.4917,2.72871,-2.46497,40.612,1.61693,-2.80626,-3.01651,0.0286168
82.9249,-2.6091,-2.43217,82.8759,2.91908,1.83913,126.886,1.48769,-0.483916,-2.01189,0.033643
113.768,0.266205,2.23547,54.2714,-2.89831,1.52471,96.3454,-0.442113,-1.3203,0.710753,0.0317692
142.4,3.6945,-2.6606,106.27,-0.968961,-1.38136,88.8336,0.564762,1.12764,-1.27924,0.0346195
191.114,0.297412,2.47915,40.4973,-3.20008,-0.217917,106.918,-1.15777,-0.982122,2.69706,0.0324448
170.02,-2.66376,-2.00679,41.3467,1.14905,-0.158133,53.3112,-0.897518,1.72941,1.84866,0.0315832
81.7705,2.67695,-1.60446,70.9777,-2.68139,-0.880525,77.7739,1.06378,1.19141,-0.723936,0.0351288
122.297,2.0558,-1.86673,111.618,-2.22466,-3.01798,125.469,-0.242493,1.10567,1.15126,0.0326743
91.9301,1.81308,1.09955,58.1279,-2.60355,-1.16275,24.1818,-2.23934,-2.42033,2.26231,0.030671
195.882,-3.31443,3.05848,38.7184,1.91466,0.138941,86.4807,0.630493,-0.292511,-2.91954,0.0315622
84.2763,-2.81939,-2.64995,56.1063,4.30415,-1.97786,104.784,-1.26999,0.914248,0.672092,0.0356641
242.039,2.14732,-1.37045,43.1621,-2.91011,-2.34037,210.017,1.0033,1.6005,0.969914,0.0339117
198.821,-1.72073,1.12941,35.6761,4.14883,3.01448,118.78,1.19897,-1.81127,1.88507,0.0333789
106.855,2.33396,2.89688,103.409,-2.29223,-1.75403,61.9329,-0.276833,0.375311,-1.63227,0.0328135
257.884,-2.9632,-0.439443,52.1564,3.10079,0.583737,279.642,0.467861,2.77638,1.02318,0.0354685
103.825,3.11183,1.56682,50.2358,-2.45118,-2.16976,65.806,1.40773,-1.27681,-2.5466,0.0334431
85.4178,2.11638,2.39956,44.0041,-1.58899,1.81554,112.619,0.941579,-1.04109,0.584023,0.0296193
152.637,2.21266,-0.568859,74.2689,-3.66386,-0.521126,121.33,-1.5389,2.58218,-0.0477327,0.0354051
79.4372,-1.82617,-1.78553,40.2652,2.27286,-0.395514,59.153,0.551512,2.09428,1.39002,0.0315936
118.635,-0.710825,-0.224361,90.9732,2.67963,-1.49097,138.615,-0.293492,2.42619,-1.26661,0.0315819
318.55,-1.60142,0.60672,57.538,3.0447,-1.1797,171.421,1.32671,-2.69984,-1.78642,0.0345808
74.0954,0.145431,1.61058,58.1906,-3.74563,1.22997,70.0214,-1.10092,-1.9225,0.380615,0.0319072
200.117,-0.606718,-2.68515,100.72,3.75384,-0.215384,139.184,0.307336,1.29554,2.46977,0.0345437
114.05,-0.51132,-0.484069,30.9321,3.50496,1.84416,99.1491,2.10941,2.83672,2.32823,0.0307542
60.8724,3.4255,-1.20924,39.8235,-2.59,-2.99723,55.6777,0.999292,1.47,1.78799,0.0317106
77.822,-2.58403,1.36823,41.5441,3.45914,-3.0475,60.1749,0.795852,-0.986885,1.86745,0.0331896
85.6068,-2.12734,2.59345,38.3908,3.42369,2.37282,54.0217,-1.68628,-0.499303,-0.220637,0.0320099
168.141,2.86244,-2.75901,81.7677,-3.49369,-1.40766,118.246,1.67421,0.558635,-1.35135,0.0370258
244.648,1.71083,2.59388,60.563,-4.39867,0.0127765,67.1474,-0.00388085,-0.752057,2.5811,0.0363305
188.91,-2.02012,-1.1147,74.4011,2.32114,2.56905,116.46,0.237603,1.63286,-2.59943,0.0333882
201.247,1.86959,2.30294,54.81,-2.63818,-2.76752,84.9687,-0.536285,-0.452689,-1.21273,0.0304811
134.31,3.04671,1.52206,54.1585,-2.72571,2.70023,153.765,-1.14798,-1.36664,-1.17817,0.0342089
74.4853,-4.56057,-3.08747,58.3243,0.626643,2.86153,111.598,-0.811094,0.0767134,-0.334187,0.035588
45.0215,4.01797,0.615803,36.3533,-2.86815,0.408609,60.4371,2.46955,-2.49736,0.207194,0.0359172
141.984,-2.07634,2.15805,40.4826,1.54444,-1.03428,109.593,0.106694,-0.915636,3.09086,0.0315255
135.697,-2.25589,0.0786642,47.5536,3.43072,-1.53651,173.864,-1.9912,2.63859,-1.61518,0.0337268
108.116,1.78482,1.14448,72.34,-2.67485,2.83442,62.1585,-1.26759,-1.30642,-1.68994,0.0322138
226.18,-0.843318,2.48485,152.581,2.67402,2.48363,167.935,0.964525,-0.654084,-0.00121784,0.0326768
145.362,2.92427,-2.1917,35.7653,-3.63885,-1.30068,55.6015,1.67864,0.782381,-0.891025,0.0351612
88.9937,3.00604,-0.42913,88.013,-2.36549,-2.22683,72.3468,1.1442,1.84505,1.7977,0.0333925
143.789,2.37886,2.82437,40.7115,-3.72418,-2.69767,57.002,-1.05915,-0.524016,-0.761144,0.0341761
144.68,-1.81437,-1.28178,43.0297,2.89401,-2.50892,157.526,2.25257,1.48931,-1.22715,0.0345811
101.721,3.0926,0.291891,98.1227,-2.07105,1.34894,105.08,-0.177255,-1.97642,-1.05705,0.0338596
152.183,-1.15231,-3.01143,68.743,4.04832,-0.720397,59.7871,0.927955,0.697688,2.29103,0.0347655
87.7423,2.52494,3.11516,77.4759,-3.42422,-1.01388,60.7332,-1.42971,1.06472,-2.15414,0.0329669
88.7565,3.91867,-0.591837,46.2818,-1.12734,1.42183,42.5661,1.25022,-2.3678,-2.01366,0.0340964
231.404,1.95733,-0.241424,52.4871,-1.4525,-2.64354,145.131,1.59701,2.70716,2.40212,0.0323277
141.312,-1.42058,-2.52199,47.1962,4.08353,-2.11414,125.857,0.102187,1.07938,0.407848,0.032574
202.057,2.72294,0.560087,32.7614,-1.28294,-2.28681,84.256,2.12432,-2.06105,2.84689,0.0322013
155.656,-1.80108,1.87132,70.7271,2.84543,-1.8086,74.2908,0.821904,-0.460063,2.60326,0.0329666
243.71,2.50012,-2.31612,93.6049,-1.77951,1.30572,112.177,1.97988,0.170468,2.66135,0.0323143
221.139,-0.649516,0.811317,105.009,2.49139,-0.712554,158.67,0.281874,-2.55759,-1.52387,0.032734
158.451,-1.46566,0.0910313,58.9371,2.45731,-2.46241,70.7729,0.434798,3.07481,-2.55344,0.0294689
120.266,-2.60351,-3.10991,56.9062,2.61332,2.6787,51.8612,0.899872,-0.682606,-0.494578,0.0323317
63.2041,1.40585,-0.0227717,58.4704,-2.45063,-0.29396,60.1449,-1.99979,2.83335,0.271188,0.0297394
187.573,-2.4304,-2.73857,153.606,1.90429,2.39848,226.35,-1.18299,0.193759,-1.14614,0.0334548
63.177,3.66209,-0.823808,37.4157,-2.58183,-1.3493,97.6705,-0.205047,2.14198,0.525491,0.0360235
184.729,3.38866,1.54098,100.133,-0.809258,2.34612,88.8549,2.41205,-1.38478,-0.80514,0.0342923
111.844,-2.24519,-2.53273,77.586,2.82789,2.69054,109.533,0.154336,-0.111823,-1.05991,0.0332575
137.153,-3.17651,-1.88251,68.3502,1.67392,2.94118,77.4338,-0.585259,1.18809,-1.4595,0.0337625
221.645,2.77094,2.83509,107.023,-2.95594,-2.28453,185.215,0.232374,-0.220946,-1.16356,0.0357182
140.592,2.02181,-2.64209,57.387,-3.58193,-1.87944,166.909,-0.252681,0.589244,-0.762652,0.0343583
154.22,2.26653,1.46386,90.4784,-3.65426,1.13654,165.366,-0.474739,-2.03931,0.327314,0.0358183
164.112,-1.97257,-1.18619,104.354,3.01952,3.04436,101.575,-1.06803,1.57087,-2.05263,0.0344138
269.49,-3.51169,2.1813,198.866,1.73197,-2.07226,115.544,0.0529736,0.524895,2.02962,0.0374972
73.833,-2.87895,0.472562,68.618,1.69528,0.600043,94.4569,-0.98926,-2.6111,0.127481,0.0290443
218.132,1.76407,0.776536,104.105,-1.24341,-2.59638,79.1119,1.32128,-2.7594,-2.91027,0.0303363
152.193,0.534344,-0.437292,71.5909,-3.16238,-2.3352,105.544,-0.32631,2.58211,1.89791,0.0322317
89.5886,2.82095,-2.72765,42.1233,-4.41293,-1.78966,82.1608,-1.44774,0.540748,-0.937986,0.0352716
132.037,-2.70737,-1.55562,46.3308,2.73166,-0.233448,95.8699,-1.83018,1.897,1.32218,0.0288806
93.1139,-2.64922,-2.97001,60.5348,2.51588,-0.925714,91.0047,1.9032,0.926903,2.0443,0.0345384
86.8785,1.9932,2.17153,68.1323,-3.78663,0.161664,59.9074,0.295802,-1.73629,2.00986,0.0386071
61.444,3.94699,1.266,50.6842,-0.795411,-0.809943,75.8233,-0.93591,-2.53893,2.07594,0.0333792
97.7183,0.4179,2.45119,65.2649,-4.21683,2.49378,139.19,-2.22819,-0.293589,-0.042587,0.0351623
81.3759,0.289168,-1.86897,55.6504,-3.85139,-1.35348,137.631,-1.04395,1.53048,-0.51549,0.0306968
95.411,-2.15974,-0.697111,50.9627,2.38003,-1.15733,85.6894,-0.0791546,2.45067,-0.460214,0.0308648
164.74,2.41475,-0.18266,45.887,-3.13782,2.1875,101.093,0.978014,-2.97265,-2.37016,0.0335195
99.4521,2.89774,-0.015187,53.8029,-2.57513,-0.0952508,121.479,0.0169761,2.92085,0.0800638,0.0336257
167.298,-1.44003,-2.16157,45.3145,3.09678,2.9346,135.055,1.63638,0.538589,-1.18702,0.0335437
69.0961,3.84756,-1.49775,40.748,-2.51072,-1.04023,47.9995,0.572886,2.19662,-0.457511,0.0337767
114.781,-2.30659,0.960791,53.0913,3.42799,3.13344,120.834,1.25926,-1.48999,2.17265,0.0341855
111.213,-1.40098,1.43906,84.741,3.55445,1.01001,80.6471,0.332935,-1.69483,-0.429048,0.0335931
172.214,-2.50882,-0.046184,47.2119,1.2121,1.57154,134.024,-0.998491,-2.88914,1.61772,0.0303642
93.4331,-1.72647,1.09807,69.9692,1.96881,1.73973,53.0883,-0.31168,-1.0609,0.641657,0.0314378
143.73,-2.81151,-1.8459,33.397,1.78999,-2.89317,113.153,-1.04578,0.966218,-1.04726,0.0322681
321.223,1.59455,0.040421,32.7857,-3.24871,3.05879,212.634,0.249835,-3.11667,-3.01837,0.0337756
161.113,-2.45641,0.343323,51.5145,4.01061,1.04437,168.106,-0.103948,-2.75509,0.701043,0.033224
83.5299,-2.40099,0.134094,69.3658,1.1979,-0.194707,86.422,-1.06989,2.8466,-0.328801,0.0316593
105.218,-2.43889,0.125917,101.984,1.74671,0.979743,125.991,0.588504,-2.68836,0.853826,0.0324339
93.4855,4.12355,-2.20946,65.7008,-1.93745,-2.57912,74.6456,0.502221,0.643069,0.369662,0.0351784
110.65,1.98428,0.193995,48.5232,-2.54599,1.48962,66.907,1.36431,-2.71035,-1.29562,0.0294486
143.533,3.123,-1.16165,42.883,-2.5131,0.864286,104.158,-0.31969,2.54082,-2.02594,0.0321149
372.366,-1.9765,2.08149,122.906,3.08528,-1.49448,166.274,0.648242,-0.756802,2.70722,0.034168
254.836,1.42581,-0.0965166,90.146,-2.93816,-0.991355,210.866,0.128385,2.88907,0.894839,0.0337818
95.2497,-2.40592,-2.40968,48.1787,4.18019,-0.165901,47.2284,0.252836,1.30746,2.24378,0.0346653
46.6717,3.15846,2.44386,37.3767,-4.15002,-2.47901,67.4924,-1.43151,0.122634,-1.36031,0.0313598
208.212,1.44497,-0.164106,92.4724,-3.44246,2.56073,58.9571,-0.57159,2.71772,-2.72483,0.0342417
341.802,-1.04662,-0.129458,55.2115,2.51361,3.03818,191.467,0.304135,2.91278,-3.11555,0.0307191
241.667,-1.77039,-0.511387,50.7481,3.52776,-3.06786,88.7786,-0.0395976,2.72452,-2.55647,0.033917
149.542,2.49626,2.38586,66.9335,-3.37248,-2.24932,70.0922,-1.34791,-0.470689,-1.648,0.034408
103.991,-3.4324,2.04235,34.2582,3.34835,1.84993,75.4614,-1.86414,-1.25889,-0.192412,0.0345761
83.2119,-2.56896,-0.246088,80.0611,4.79734,-1.15916,40.0716,-2.06481,1.9094,-0.913077,0.0406778
123.494,-2.56127,0.838302,87.829,2.04283,0.662418,96.6972,-0.545877,-2.45817,-0.175884,0.0331812
140.118,-1.56546,-1.52025,57.1639,2.34647,0.045138,129.445,2.13057,2.13325,1.56539,0.0320324
93.5399,-1.27222,-1.76162,82.3763,2.66892,-2.71446,46.3246,2.03544,0.646905,-0.952842,0.0307209
162.916,2.93991,2.29628,41.5907,-2.61816,3.07586,92.0572,-0.808609,-0.601332,-0.77958,0.0303582
120.748,-2.07945,2.46407,87.4885,3.41752,0.0450577,57.857,1.80713,-1.7166,-2.41901,0.034039
133.284,-2.26679,-0.818518,80.5383,1.75129,-0.607942,137.376,0.395729,2.49913,0.210576,0.0327533
78.5525,-2.15531,2.28165,43.4295,1.65042,2.08821,105.889,-0.502998,-0.789945,-0.193443,0.0310456
155.214,-1.67906,0.840075,49.831,1.88365,-2.15302,56.9501,-0.904359,-2.22943,-2.9931,0.0294911
229.128,-1.01337,-2.13957,105.375,2.82158,-0.395041,91.7426,0.431648,1.77379,1.74453,0.0311463
79.06,2.94242,-2.22853,54.8644,-3.96995,1.18891,34.4061,1.54667,-1.5095,2.86574,0.0343791
122.264,-1.11013,2.62342,59.1176,2.91831,2.00116,69.3552,1.60769,-1.08208,-0.622265,0.0321428
99.4466,1.78955,0.265664,56.8177,-1.92337,0.21184,71.4696,0.28566,-2.51747,0.0538245,0.0317324
132.258,2.3822,-0.162398,96.9325,-1.74638,1.72686,138.226,0.18663,-2.30409,-1.88926,0.0313996
121.92,-1.18252,0.938899,60.04,3.40868,-0.272627,115.487,1.05514,-2.97262,-1.21153,0.0331271
168.12,-1.47656,0.395395,77.1935,3.22996,-0.811562,94.7913,1.58939,-2.97303,-1.20696,0.0338402
86.3946,-1.24437,-1.05477,36.2927,4.18101,0.276378,83.1054,2.02978,2.38776,1.33115,0.0328281
