SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
4.41808,1,0.112908,-2.75995,-2.39194,1.49586,0.733478,18.1574,0.829353,0.534388,0.163104,0.287221,-0.956926,-0.0423879
4.5055,1,-3.02092,-0.431906,-0.0745254,-4.13626,12.1876,1.20817,-0.0308087,-0.330475,0.943312,0.0208062,0.999702,-0.0127759
3.3466,1,0.318135,-2.96996,2.06917,1.08845,39.4289,15.1645,-0.573348,0.815938,0.0742708,0.0395556,-0.994262,-0.0993866
1.21845,1,-2.3651,0.578928,-1.92916,-1.46594,16.3333,25.0425,-0.164178,-0.958256,0.234075,0.302562,-0.944429,-0.128496
2.78128,1,-1.05643,2.08407,-0.383047,2.30589,49.9931,11.6593,-0.561178,0.0551839,-0.825853,0.582381,-0.788945,0.195955
3.12886,1,-3.02608,-0.10807,-1.23995,-0.673841,34.9603,22.1585,-0.847677,0.0405869,0.528958,-0.591365,-0.0255502,-0.805999
0.265882,1,-2.00872,2.66182,-0.0513429,1.51795,23.0973,73.4791,0.905657,-0.424009,-0.00109547,0.910965,0.265527,0.315655
1.36836,1,0.982899,-2.26615,-1.20326,-0.336365,31.3825,12.3351,0.605184,-0.770182,-0.201423,0.211173,-0.539909,0.814803
1.62669,1,1.95883,-0.603695,-1.08125,-1.85754,33.9425,43.2294,0.243199,0.82297,0.513395,-0.318873,-0.943758,0.0874138
1.89232,1,2.62797,-1.00585,0.948057,0.0327386,20.7208,2.04805,0.800809,0.372052,0.469343,-0.660851,-0.394125,0.638704
2.68337,1,2.16949,-0.658599,-1.8853,1.37573,20.0195,9.74441,0.363929,-0.884851,-0.290853,0.0914015,0.956523,0.276963
3.62371,1,-2.09726,0.740195,-2.31674,-1.58579,41.002,18.114,0.805848,0.564778,-0.177862,0.779685,0.491602,0.387838
0.165424,1,-2.68975,-0.296699,-2.57463,-1.6197,45.1671,54.8494,-0.990277,-0.0189987,0.137804,0.857031,-0.348334,0.379685
0.803425,1,-0.943331,0.535855,-2.1135,-1.95239,48.0416,93.6153,0.189124,-0.957606,0.21731,0.970948,-0.0389618,0.236097
6.25066,1,2.47717,-0.179414,-3.2207,-0.966263,29.3033,22.9666,0.371336,0.928228,0.0223955,0.071621,0.992901,-0.0949587
0.807828,1,-2.45761,1.09032,2.88113,2.59764,104.473,21.3604,0.412459,0.905435,0.100326,-0.0668042,-0.988472,0.135867
2.46033,1,0.691946,2.17398,-0.21537,1.20794,42.5983,10.0136,-0.0756203,-0.238118,-0.968288,0.869519,-0.219636,0.442376
1.03811,1,2.25781,-0.462135,2.02238,1.24046,14.1971,48.2298,-0.0481804,-0.979465,0.195773,-0.163559,-0.969867,-0.180574
1.35235,1,-1.44061,0.601747,4.55882,2.84931,15.1646,21.2964,0.297965,-0.954354,-0.0206361,0.553409,0.825969,-0.107303
1.83209,1,0.122281,-2.96018,1.2165,3.28827,2.61454,18.4609,-0.634673,-0.6221,0.458456,0.173512,0.984488,0.0260313
3.56158,1,1.57055,0.558122,3.0844,-1.15273,6.123,6.67971,0.996567,0.0824455,-0.0075833,-0.852469,0.369235,-0.370083
2.6226,1,-3.1299,1.12487,-3.97393,-0.954087,10.6786,12.1429,-0.606788,0.794546,0.0224716,0.808456,0.260342,0.527845
2.08679,1,0.577231,-2.71868,-2.62453,-0.58171,9.18055,24.1932,-0.974806,-0.178875,-0.133252,0.283426,-0.936844,0.20492
3.25283,1,-1.92894,2.27685,-0.945855,-0.0847185,45.9682,15.4133,-0.799018,0.558674,-0.222382,0.550076,0.540045,0.636999
1.9642,1,0.440563,-2.28259,-0.867128,-2.5805,28.1373,27.2028,-0.608117,-0.348827,-0.713101,0.121326,-0.987376,0.101826
0.166028,1,0.858185,-2.29086,-1.39438,-2.31507,26.8006,13.1159,-0.689599,-0.558134,-0.461453,0.650661,0.733742,-0.195607
1.01176,1,-2.47136,-1.93656,4.80758,0.631208,4.47238,8.02383,-0.595047,-0.803536,-0.015772,-0.845997,0.484562,0.222459
2.76236,1,1.82287,2.34904,0.999295,3.2844,4.23772,0.615112,-0.195134,-0.776568,0.599054,0.152035,-0.986508,0.060721
0.775161,1,0.607614,1.70196,-0.417308,-0.382452,67.0798,88.5974,0.514894,-0.845752,-0.139954,-0.801227,0.125533,0.585043
