SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
4.16663,0,2.64443,-0.371439,-1.86348,-1.01224,9.414,52.8769,0.0871853,-0.981036,-0.17311,0.710053,-0.289298,0.641974
1.58903,0,1.51374,-2.10053,1.3441,2.96674,48.5386,21.245,-0.999,0.0441227,0.00722712,-0.202186,-0.974497,-0.097342
2.1352,0,0.521848,-1.93666,-1.45675,-1.54419,60.638,48.4207,-0.620567,-0.657912,-0.426671,0.36221,-0.879267,0.309344
2.26621,0,-2.28816,3.13189,-0.580421,2.41963,23.1182,4.3921,-0.619969,-0.0934594,0.77904,0.920603,-0.353603,0.165697
2.38882,0,-0.998526,1.85235,-2.49606,-3.18434,69.5939,20.7653,0.796148,-0.585384,0.153211,0.696149,-0.71418,-0.0729566
3.84996,0,-2.86675,0.596168,-0.571691,-0.478676,56.8031,17.2446,0.271956,0.637699,-0.72068,0.64657,-0.713211,0.270697
2.32405,0,-2.36739,1.15194,-0.326575,-0.394093,8.3342,58.515,-0.437199,0.709731,-0.552394,0.282731,0.280187,0.917365
4.6213,0,0.212064,-2.69077,-0.259608,-1.07192,33.585,22.61,0.20103,0.248253,0.947606,0.283369,-0.951018,0.123556
3.14969,0,-1.37675,2.36207,-1.53869,-0.204838,47.2685,13.4132,-0.00260439,0.914682,-0.404166,-0.474888,-0.231339,0.849096
3.78379,0,-2.04664,2.26785,1.60027,1.81394,59.512,18.7489,-0.942009,-0.211361,-0.260664,0.88778,0.454242,0.0742314
1.82959,0,2.09829,-0.215822,-1.25707,-2.62123,7.29952,26.086,0.729927,0.670785,0.131355,0.323084,-0.94334,0.0756735
5.22047,0,-1.04516,-2.64644,0.323697,-2.5255,18.3261,3.17682,-0.841171,-0.529591,-0.109379,0.248561,-0.967837,0.0388463
3.76678,0,0.539103,-2.51118,-1.24838,-2.51121,56.4704,29.1606,0.341807,0.825786,0.448604,0.817219,-0.573922,-0.0525915
3.42012,0,-1.45334,1.39732,3.28125,1.10516,25.8995,14.9202,-0.577041,-0.814806,-0.0558168,0.593077,-0.683873,0.424944
0.959228,0,2.5945,-0.484014,-0.974276,0.402861,8.44639,66.2393,-0.604923,-0.790879,0.092624,-0.0922495,-0.753938,-0.650436
3.44784,0,-1.02368,2.24234,1.55379,1.75583,63.1508,17.193,-0.960074,0.103071,0.260067,-0.0618559,0.957783,-0.280759
2.66038,0,-2.94421,1.85659,-0.382479,-0.505868,77.9075,3.87138,-0.404653,0.519469,0.7526,0.868685,-0.0170533,-0.495072
3.60593,0,0.271137,-2.77714,0.547095,-0.776446,7.20798,18.8865,-0.549358,0.388091,0.739994,0.605803,-0.705963,-0.366905
1.70268,0,1.46949,-1.43761,-1.60005,-1.50671,34.6354,25.1184,-0.231319,-0.893822,-0.384154,0.988636,0.150105,-0.00815443
3.79635,0,0.455397,-2.98974,-0.529659,-0.495241,33.4322,38.2611,0.572494,-0.152949,0.805517,0.47676,-0.187416,-0.858822
3.40402,0,-0.886236,-2.63689,-2.28847,-0.649109,56.7767,19.6389,-0.869806,0.457265,-0.185328,-0.292076,-0.572967,0.765768
3.46052,0,2.87262,0.657764,-1.25908,-1.64879,43.2442,25.6527,0.796263,0.454231,-0.399549,0.827848,-0.546084,0.128297
3.05046,0,-2.23805,0.764823,-1.37966,-0.79716,29.4161,27.4041,0.144293,0.893544,-0.425158,0.71139,0.138654,0.688984
1.24705,0,1.78447,-1.12524,1.02909,-1.24128,23.9589,3.01952,-0.521695,0.619463,-0.586601,0.599575,0.754637,-0.26652
3.85796,0,-2.93347,0.0912536,0.0895157,2.17378,31.3045,24.0388,0.0851685,0.028757,0.995951,0.613084,0.774266,-0.156974
4.6863,0,-2.64025,-0.206795,0.636209,-0.260737,61.8547,27.0447,0.687079,-0.363727,0.628988,0.281972,0.892763,0.351377
3.62685,0,-0.960212,2.78379,1.16641,1.66995,14.7602,3.23806,-0.21231,-0.884296,-0.415866,0.719285,0.673357,0.170937
3.81805,0,2.83913,-0.0654334,1.67428,-0.134058,5.75887,11.4285,0.16688,-0.970464,0.174213,0.106535,0.936015,0.335448
4.6352,0,0.873335,-2.15027,2.48985,1.25376,5.36668,59.0794,0.864727,-0.501429,-0.0285655,-0.612222,-0.596776,-0.518693
3.26731,0,-2.51617,0.732347,2.1784,-0.391784,32.1435,23.0589,0.879087,0.422726,0.220249,-0.510804,0.0523155,-0.858104
2.44475,0,1.62798,-2.46712,1.74654,-0.884849,19.2973,2.91362,0.875174,0.460783,-0.147476,-0.252624,-0.72149,0.644696
3.12957,0,-2.87777,0.293787,-0.783302,-1.44768,43.0707,5.39207,-0.370892,-0.690178,0.621364,-0.869848,0.329798,-0.366876
5.08859,0,-1.11647,0.8384,-0.721368,-1.3442,48.794,46.614,-0.140039,-0.689591,0.710531,-0.926864,0.303948,-0.220314
3.23717,0,-2.93028,2.68799,0.0231587,4.03998,15.6604,7.73429,0.00256575,0.0979335,0.99519,0.972301,0.232147,0.0271881
1.44808,0,-0.758614,2.47123,0.532254,1.44221,12.9616,31.3968,0.588346,0.783343,0.200556,-0.41013,0.812743,-0.413814
2.70399,0,1.95962,-1.02802,-1.17286,-0.33056,41.7473,11.5241,0.190681,0.850901,0.489498,-0.816317,-0.297872,-0.494872
4.26303,0,-0.628476,2.3814,0.500703,-0.527315,12.1832,20.924,0.340746,-0.316894,-0.885139,0.464598,0.797317,0.385272
4.70788,0,-2.40687,-0.0645228,-2.56269,-1.22197,58.5552,9.8745,-0.627193,-0.763961,0.151632,0.544277,0.776213,0.318206
3.80217,0,-0.535506,-1.88831,1.46197,2.36725,16.5162,29.484,0.883775,0.376149,-0.278305,0.996453,0.0498466,0.0677972
3.64518,0,-0.495513,2.07303,-2.96126,-0.765549,31.9858,29.5999,0.988406,-0.117591,0.0960472,-0.783148,-0.597082,-0.1737
3.81379,0,-2.3075,0.759602,-2.88159,2.2586,5.51719,4.54482,0.308845,0.945618,-0.102089,0.352197,-0.932353,0.0817035
1.92473,0,-0.960893,0.560148,0.543332,1.27211,13.9112,75.3166,0.401854,-0.31705,-0.859065,-0.897505,0.162674,0.409905
3.02345,0,-0.123552,2.10221,2.13293,1.65347,17.3509,8.14356,-0.932958,0.276331,0.230716,-0.300625,0.882096,-0.362672
4.49998,0,2.25827,0.0107118,0.964439,2.007,35.6737,10.4587,0.363753,0.850326,-0.380302,0.294489,-0.952482,-0.0778123
4.67644,0,-2.17901,0.440826,1.02064,3.21489,23.2457,5.41647,0.586265,-0.771549,-0.246994,-0.338762,-0.939151,0.0568855
0.0635121,0,2.92641,-1.9155,0.976595,0.534946,38.296,69.884,-0.76225,-0.0401581,-0.646036,-0.684741,-0.175621,-0.707309
4.49707,0,-0.325621,3.06507,0.982898,-0.726402,10.0469,35.8773,-0.515112,-0.835295,0.192201,0.57974,-0.297439,-0.758572
2.69829,0,-1.80453,1.24125,1.8088,2.58132,37.3525,34.7253,0.992866,0.0662512,0.0991385,-0.497039,0.861986,-0.0996662
2.15533,0,1.82202,-2.41763,1.20052,0.270965,79.3421,7.09537,-0.0147685,0.84058,-0.541485,0.691073,-0.678462,0.249213
4.26058,0,-0.457887,2.64631,2.14614,1.85022,50.7551,28.5,-0.480226,0.855906,0.191851,-0.361279,-0.931588,0.0402629
5.10498,0,-1.8205,1.37057,0.617231,1.10364,29.8301,51.2411,0.742518,-0.495239,-0.451005,0.704987,-0.618421,0.347203
1.08461,0,1.89884,-0.756985,1.93967,0.0965204,10.3408,61.6711,0.570992,0.80332,-0.169248,0.430262,0.555587,0.711476
4.54016,0,2.8931,-2.65394,2.68371,3.44848,4.39443,61.6236,-0.839146,0.528271,-0.129476,-0.840165,-0.538623,-0.0633088
3.53086,0,-2.68158,0.226066,-0.0218511,1.33422,20.4447,5.27034,-0.200776,0.36039,0.910938,0.82058,0.294279,-0.489948
1.18505,0,0.286511,-2.43453,1.74497,2.70082,13.772,22.4183,0.0753694,0.989067,-0.126755,-0.863427,-0.487101,-0.131248
3.4502,0,2.71233,-0.907452,0.313505,-0.959062,25.8101,34.6725,-0.345083,-0.0358041,-0.937889,0.564189,-0.493794,0.661709
3.38673,0,2.34751,-1.14734,3.39209,3.36439,28.0415,51.148,0.998552,-0.0237158,0.0482807,-0.106213,-0.992553,-0.0596404
4.91677,0,-1.61165,2.62645,0.503341,0.504277,25.0495,82.1132,-0.735661,0.338322,0.586806,-0.637141,-0.559262,-0.530356
3.05327,0,-0.248018,2.85613,-0.554026,0.71349,6.88121,46.3787,-0.160514,0.785405,-0.597807,0.161452,-0.846611,0.507133
1.87735,0,-3.0144,-1.11646,0.550157,0.375917,233.833,1.8955,0.226196,0.795323,0.562402,-0.797216,-0.13763,0.587796
3.16009,0,-0.0441315,-1.79132,-1.13283,-0.933061,182.418,7.6179,-0.292739,-0.939012,-0.180444,-0.944782,-0.122768,0.303833
1.04224,0,-2.18767,-0.670407,-0.174259,1.13903,47.4589,25.4504,0.0382385,-0.235628,0.971091,-0.0357662,-0.920896,-0.388164
