SignedAcoplanarity,Weight,Phi_PiPlus,Phi_PiMinus,Eta_PiPlus,Eta_PiMinus,Pt_PiPlus,Pt_PiMinus,ipX_PiPlus,ipY_PiPlus,ipZ_PiPlus,ipX_PiMinus,ipY_PiMinus,ipZ_PiMinus
5.25884,1,-2.01185,1.28967,1.55513,2.96132,0.424494,43.6521,1.60603,-0.782206,-0.00961646,0.00509427,-0.028279,0.0026729
1.06707,1,-0.343665,2.0295,-2.34808,-2.17144,28.7175,52.0278,-0.00868728,0.000820238,-0.00163081,-0.00219102,-0.00163584,-0.000114728
4.41808,1,0.112908,-2.75995,-2.39194,1.49586,0.733478,18.1574,0.213423,0.137517,0.0419725,0.0348378,-0.116068,-0.00514134
4.5055,1,-3.02092,-0.431906,-0.0745254,-4.13626,12.1876,1.20817,-0.000280228,-0.00300593,0.00858014,0.000176363,0.00847396,-0.000108294
3.3466,1,0.318135,-2.96996,2.06917,1.08845,39.4289,15.1645,-0.0267154,0.0380189,0.00346067,0.00138444,-0.0347989,-0.00347851
1.21845,1,-2.3651,0.578928,-1.92916,-1.46594,16.3333,25.0425,-0.051075,-0.29811,0.0728198,0.0576128,-0.179835,-0.0244677
2.78128,1,-1.05643,2.08407,-0.383047,2.30589,49.9931,11.6593,-0.0522848,0.00514146,-0.0769445,0.0029623,-0.004013,0.000996734
3.12886,1,-3.02608,-0.10807,-1.23995,-0.673841,34.9603,22.1585,-0.0231404,0.00110796,0.0144398,-0.0412801,-0.00178353,-0.0562625
0.265882,1,-2.00872,2.66182,-0.0513429,1.51795,23.0973,73.4791,0.0694306,-0.0325059,-8.39825e-05,0.00727287,0.00211988,0.00252009
1.36836,1,0.982899,-2.26615,-1.20326,-0.336365,31.3825,12.3351,0.0327871,-0.0417262,-0.0109125,0.0336983,-0.086157,0.130024
1.62669,1,1.95883,-0.603695,-1.08125,-1.85754,33.9425,43.2294,0.00596275,0.0201776,0.0125874,-0.0264339,-0.0782357,0.00724643
1.89232,1,2.62797,-1.00585,0.948057,0.0327386,20.7208,2.04805,0.0529159,0.0245844,0.0310133,-0.795865,-0.474646,0.769193
2.68337,1,2.16949,-0.658599,-1.8853,1.37573,20.0195,9.74441,0.0262793,-0.0638951,-0.0210025,0.046513,0.486762,0.140943
3.62371,1,-2.09726,0.740195,-2.31674,-1.58579,41.002,18.114,0.173831,0.121829,-0.038367,0.0822067,0.0518324,0.040892
0.165424,1,-2.68975,-0.296699,-2.57463,-1.6197,45.1671,54.8494,-0.0221975,-0.000425866,0.00308894,0.0270518,-0.010995,0.0119846
0.803425,1,-0.943331,0.535855,-2.1135,-1.95239,48.0416,93.6153,0.000961673,-0.00486931,0.001105,0.258406,-0.0103692,0.0628343
6.25066,1,2.47717,-0.179414,-3.2207,-0.966263,29.3033,22.9666,0.00775343,0.0193813,0.000467614,0.00529765,0.0734427,-0.00702388
0.807828,1,-2.45761,1.09032,2.88113,2.59764,104.473,21.3604,0.00729179,0.016007,0.00177364,-0.00319704,-0.0473053,0.00650219
2.46033,1,0.691946,2.17398,-0.21537,1.20794,42.5983,10.0136,-0.0128485,-0.040458,-0.164519,0.104736,-0.0264558,0.0532853
1.03811,1,2.25781,-0.462135,2.02238,1.24046,14.1971,48.2298,-0.00439053,-0.0892555,0.0178402,-0.00043003,-0.00254998,-0.000474764
1.35235,1,-1.44061,0.601747,4.55882,2.84931,15.1646,21.2964,0.04334,-0.138814,-0.00300159,0.0171414,0.0255837,-0.00332363
1.83209,1,0.122281,-2.96018,1.2165,3.28827,2.61454,18.4609,-0.0833148,-0.0816643,0.0601825,0.0341877,0.193977,0.00512904
3.56158,1,1.57055,0.558122,3.0844,-1.15273,6.123,6.67971,0.006896,0.000570502,-5.24746e-05,-0.14655,0.0634761,-0.063622
2.6226,1,-3.1299,1.12487,-3.97393,-0.954087,10.6786,12.1429,-0.0137561,0.0180127,0.000509442,0.0332407,0.0107043,0.021703
2.08679,1,0.577231,-2.71868,-2.62453,-0.58171,9.18055,24.1932,-0.231361,-0.0424542,-0.031626,0.00686867,-0.0227039,0.00496612
3.25283,1,-1.92894,2.27685,-0.945855,-0.0847185,45.9682,15.4133,-0.03511,0.024549,-0.00977181,0.00588104,0.0057738,0.00681037
1.9642,1,0.440563,-2.28259,-0.867128,-2.5805,28.1373,27.2028,-0.0268544,-0.0154041,-0.0314904,0.0200371,-0.163066,0.0168166
0.166028,1,0.858185,-2.29086,-1.39438,-2.31507,26.8006,13.1159,-0.054951,-0.0444752,-0.0367711,0.0118218,0.0133313,-0.00355397
1.01176,1,-2.47136,-1.93656,4.80758,0.631208,4.47238,8.02383,-0.0791443,-0.106874,-0.00209775,-0.012013,0.00688068,0.00315887
2.76236,1,1.82287,2.34904,0.999295,3.2844,4.23772,0.615112,-0.0133591,-0.0531646,0.0410119,0.114298,-0.741647,0.0456494
0.775161,1,0.607614,1.70196,-0.417308,-0.382452,67.0798,88.5974,0.00183149,-0.00300836,-0.000497821,-0.0356562,0.00558648,0.0260356
4.67787,1,-0.162228,-2.50028,-1.67858,-2.50764,25.8609,0.367687,-0.118872,-0.11829,-0.037981,1.03617,1.5952,-0.292693
0.281082,1,2.00098,-1.22557,-1.83596,-3.48295,122.532,2.40326,0.0030716,-0.0129514,-0.00427124,-0.0236172,0.0738801,-0.00476639
0.921728,1,-2.64803,0.415736,-0.591838,0.133009,22.5717,31.0463,-0.0418712,0.0872693,-0.0071306,-0.0422814,0.0661496,0.0896873
5.69551,1,2.82124,-0.262598,-3.4678,-2.94431,22.9294,15.917,-0.119784,0.101065,0.00908484,0.144219,0.127056,0.0112213
1.38465,1,1.80817,2.88087,-1.25563,-1.20161,48.012,104.534,0.0335227,0.133649,0.0756669,-0.0141544,0.0777373,0.0222926
0.0108408,1,2.35765,-3.12323,-0.554949,-1.60442,22.498,10.4633,0.0122208,-0.0101064,-0.0270432,-0.0110246,0.135125,0.00357826
5.54822,1,-1.34133,1.89877,1.59746,0.787502,42.3267,39.0163,0.000886209,-0.0121726,-0.00508862,0.0351475,0.07753,-0.0712315
2.07345,1,-1.66418,1.53849,-0.230177,0.594359,6.97655,45.0995,0.116692,-0.0293493,0.0789779,0.00417682,0.0160851,-0.0257337
2.43512,1,-1.41286,1.83414,-3.90708,-3.68033,44.8598,22.7409,-0.00900203,-0.0312017,0.00118221,0.0705733,-0.0106729,-0.00144704
0.632024,1,-0.797156,2.44943,0.100698,1.83117,45.0864,22.1209,-0.00363217,0.00884088,0.0878618,0.0599455,-0.00413795,0.0160471
0.499546,1,-1.06869,2.79801,0.0495063,1.82289,0.362903,34.8734,-0.132993,-0.0239269,0.868879,0.0153013,-0.00879824,0.00576321
1.70508,1,-2.16244,0.990486,-2.0753,-1.41866,38.0497,15.2683,0.00566808,-0.0137543,0.00210554,-0.00080861,-0.0136836,-0.00611222
5.64291,1,2.08066,-1.17468,1.87777,0.338954,12.2163,15.4844,-0.0117241,-0.0062386,-8.67469e-05,-0.197639,-0.026204,0.15075
0.738526,1,1.8442,0.77582,1.11537,2.72025,42.8455,49.577,0.0045949,0.0169695,-0.01109,0.0421119,0.0116852,-0.00505939
1.84558,1,1.78205,-1.61737,-0.715275,-1.25267,31.2349,17.5116,0.00340502,0.00715181,0.00807206,-0.253334,-0.039182,0.0316955
2.70316,1,-1.88662,1.02692,-0.675512,0.737335,1.92987,14.9403,-0.134508,-0.0306943,0.0974559,0.21146,-0.0466074,-0.0862781
0.1826,1,1.93125,-1.06787,1.75016,1.86407,7.17679,54.9866,0.0499134,0.0483892,-0.00991623,0.0742019,0.0195102,-0.00593195
2.93264,1,1.86155,-1.3249,1.86715,2.23551,0.602469,49.575,-0.0431083,-0.230808,0.0661136,0.0102995,-0.0179616,-0.0043115
0.423052,1,-1.98176,2.30782,2.81026,0.342225,12.6922,19.9954,-0.0178601,-0.0578685,-0.00727138,-0.0395989,-0.0300857,-0.0124271
3.12645,1,-1.12275,2.33614,0.998955,2.85649,18.9711,5.22892,0.0581031,0.00622026,-0.0166706,-0.0401434,-0.0565135,0.00149264
0.364542,1,3.01458,1.49376,0.14728,-0.937321,36.6423,83.4716,-0.00556459,0.0253947,-0.0591055,-0.16491,0.0302617,0.0161742
0.66353,1,1.23251,-1.68914,-1.50615,-0.635317,20.6461,35.6093,0.0867478,0.0331357,0.0280097,0.00165811,-0.00533147,0.00750953
4.76719,1,-1.55843,1.52473,-1.17674,-0.016727,30.5629,22.5196,0.0175784,-0.00993744,0.00691803,-0.0162344,0.00121552,0.0278967
1.37585,1,1.35883,-1.40196,0.598685,0.0236823,30.5581,51.1159,-0.0859092,-0.0188159,0.0574218,-0.000460293,-8.95795e-05,-0.00046282
1.41028,1,2.66119,-0.147776,-1.56056,0.861533,96.8805,2.71312,0.0741808,0.125062,-0.00351018,-0.111891,0.118051,0.131724
6.06706,1,1.80585,2.03732,2.22393,-0.892678,28.3087,0.423782,0.0108678,-0.0575343,0.0128036,0.0889093,-0.244006,-0.253847
2.50147,1,-1.65803,2.09033,-1.6993,-1.20696,11.4924,34.0244,0.184259,0.0264046,-0.0160225,-0.00241745,-0.00367943,-0.00130985
2.95974,1,2.68342,-0.605133,2.54301,0.781326,38.1784,17.123,-0.00060093,0.000169422,-9.714e-05,-0.0255817,0.0802657,0.0772631
2.54146,1,0.406551,-1.98011,-2.50601,-0.11978,37.8489,7.20433,-0.0246646,0.0545226,-0.000179649,0.00867051,-0.000831952,-0.0223828
5.26091,1,0.664352,-2.71373,-2.04444,-1.30859,14.628,10.726,0.00140437,-0.165904,-0.0266433,0.111484,0.0572145,-0.0729716
0.840936,1,-0.0751874,-2.62115,2.11636,1.34861,4.97772,32.2216,0.108521,-0.00967238,-0.0266347,0.000226202,-0.00275768,-0.000654169
1.60486,1,-0.593587,-2.68146,-1.27748,1.70783,6.41165,45.9103,-0.0175631,-0.241888,0.0729789,0.01302,0.00124829,0.00458054
2.82652,1,-1.5159,1.44709,0.858453,0.751767,58.47,17.364,0.00599638,-0.00340779,-0.00385562,-0.267739,-0.0416821,0.0902245
3.16009,1,-0.0441315,-1.79132,-1.13283,-0.933061,182.418,7.6179,-0.00296283,-0.00950382,-0.00182629,-0.0314488,-0.00408656,0.0101136
1.04224,1,-2.18767,-0.670407,-0.174259,1.13903,47.4589,25.4504,0.00485681,-0.0299279,0.123342,-0.00156506,-0.0402965,-0.0169852
0.892803,1,1.66448,-2.37849,4.40755,0.314111,7.15122,1.17265,0.283515,0.0222195,0.000107273,0.136649,-0.140043,0.00614333
3.02511,1,-0.553507,0.178902,0.661083,-1.21975,3.51672,195.092,0.0319815,0.0342604,-0.0129473,-0.0031626,-0.00234483,-0.00228363
1.05452,1,-2.68349,-0.251762,0.45142,1.09334,38.0613,27.9515,0.050876,0.00752698,0.104858,-0.00075574,-0.0019291,0.000189764
2.00627,1,1.63756,-1.69693,-2.16947,0.904967,10.6856,4.4969,-0.152954,-0.0223342,-0.00279637,0.00282951,-0.00316224,-0.00269064
1.02652,1,-1.26402,2.36808,-2.35967,-1.73633,47.3397,46.5845,-0.0368644,0.0148599,-0.00482201,-0.0765914,-0.0559377,0.00571493
1.82499,1,1.03332,2.63731,-0.347512,-3.7971,22.6902,4.27562,-0.0019729,-0.0201729,-0.051724,0.146188,-0.233558,-0.0108123
2.33785,1,-1.61829,-2.93503,0.161651,-0.176889,50.972,79.2852,0.0168426,-0.00719571,-0.0393457,0.00022908,-0.00702717,0.00684465
2.02772,1,0.841968,3.02393,0.0817255,1.71802,43.6123,26.734,0.00601668,0.000578521,-0.0542511,0.00891751,-0.00491265,0.00349738
2.16238,1,-1.35832,2.2579,1.70044,-1.03394,26.718,13.5615,0.00395953,-0.00790251,-0.00323391,-0.063359,-0.00245532,0.0311746
1.89066,1,0.97758,-2.2348,0.742233,-0.843112,23.4976,1.80778,0.0644282,-0.0327932,-0.0108669,-0.718946,-0.725673,1.07178
5.82811,1,0.161275,-2.54746,-2.0841,-2.30268,29.408,3.395,0.0283898,0.0143584,0.00766519,-0.100334,-0.0853956,0.0264507
1.85266,1,2.41494,-0.207372,-0.0174126,-0.093091,24.7605,8.78349,0.22663,0.252213,-0.104575,0.0153606,-0.00371073,0.169434
2.75928,1,0.535783,-1.84487,-0.0933708,-0.567333,1.60766,28.9854,0.0495699,-0.0828977,0.00324179,-0.0183933,0.00353884,0.00262665
0.20669,1,2.65814,0.464955,-4.87125,-1.60077,14.2689,17.8401,-0.00334838,0.00370406,7.1836e-05,0.00216673,0.0582931,0.0118081
2.42599,1,-2.22905,-0.524057,1.61237,1.0005,22.2739,9.28746,0.170907,-0.512285,-0.124895,0.174562,0.111978,-0.080871
1.8833,1,0.864528,-1.58487,-0.0411522,0.59398,81.9715,4.98028,-0.038537,0.0330391,0.0030434,0.0103546,-0.227016,-0.360345
5.79987,1,1.60565,-1.98754,1.82745,0.532105,34.9522,52.0273,-0.11916,-0.0677041,0.0209704,-0.00264917,0.0140445,0.0211097
3.06914,1,0.984529,-0.689156,-0.0759608,0.0378476,7.47745,103.464,-0.864516,0.604101,0.327811,0.0287922,0.0335849,-0.022853
1.98454,1,-2.22603,1.78067,-0.763154,1.03461,23.6989,21.8279,-0.0126159,0.0029894,0.00633426,0.00527237,-0.00636115,0.00595447
2.45705,1,1.83501,-2.60072,1.63116,0.603613,22.9078,8.0012,0.000869148,-0.00692511,0.00281305,-0.0526906,0.0597007,-0.0225153
3.09791,1,-0.603693,2.17024,-2.00324,-1.62681,56.1437,18.409,0.00807105,0.0380126,-0.00410404,-0.121741,-0.0240587,0.0199628
4.34902,1,0.173454,2.61161,-0.117394,-1.8451,27.2026,9.55593,-0.00498494,0.0170135,-0.0167753,-0.0206145,0.00930808,0.00728987
0.520835,1,1.10705,-1.87227,-1.85122,-0.612401,15.0452,42.0742,0.015101,-0.0048198,0.00078706,0.0550431,-0.0422382,0.0368272
2.21579,1,1.68655,-1.70338,-2.01042,0.327674,3.52741,28.9,-0.004884,-0.0231265,-0.00611187,0.011975,0.000641479,0.00665196
3.5463,1,0.165266,-3.04529,-0.951897,-1.57218,7.31502,33.4232,0.202088,0.16977,0.206172,0.193348,-0.177635,-0.0760907
0.0399549,1,2.59356,-1.48307,-1.60609,0.736176,11.6509,8.06802,0.691332,-0.526045,-0.361377,0.0167947,-0.00959683,-0.0137122
0.0752441,1,1.79621,-1.91911,0.908132,-0.679776,48.4923,19.5588,-0.00561376,-0.000294428,-0.000932127,-0.119321,0.0376809,0.00723737
2.61972,1,-0.409011,2.57714,-1.91011,0.0690925,25.3146,11.0528,-0.0758606,0.0839343,-0.03118,-0.0178041,-0.0326306,0.0349021
5.49033,1,0.183562,2.12011,-2.61853,-3.91532,17.9429,13.6937,0.0275379,-0.0329273,0.00308809,0.000227516,-0.144284,-0.00491279
5.22635,1,1.21514,-2.17042,-1.14748,-3.40356,25.162,1.09253,0.10316,-0.00690574,0.0207902,0.279973,0.0882932,-0.0153732
3.96923,1,-2.22444,0.019906,-2.26714,0.486401,5.59086,17.9734,-0.0189355,0.0463861,-0.00530167,0.0180926,-0.0200777,-0.0349725
1.12775,1,-1.99957,1.54031,-0.212908,0.558447,60.1435,3.4096,0.0220494,-0.00630102,-0.0160201,-0.00100841,0.0267597,-0.0454417
2.66562,1,-1.79698,2.19327,-0.55748,-0.109204,64.8062,23.5177,0.00890394,0.000203174,-0.00374027,-0.0371736,-0.0279986,-0.00980607
2.88017,1,0.337593,2.43092,2.60588,-0.100822,11.0594,14.5869,0.227187,-0.0243142,-0.030634,-0.0298091,-0.0280128,0.0427672
3.50222,1,-2.76887,-0.49331,2.34545,2.74861,65.3488,1.11748,0.0288986,-0.000791787,0.00514905,0.400683,0.191589,-0.0337066
